chr	start	end	C1	C2	C3	H6_1	H6_2	H6_3	H12_1	H12_2	H12_3	H24_1	H24_2	H24_3	CTRLmean	H6mean	deltaCHH_6h	H12mean	deltaCHH_12h	H24mean	deltaCHH_24h
1	10474800	10474900	0.0202517788724685	0.0505747126436781	0.0643678160919539	0.0233716475095785	0.026	0.0383141762452107	0.0121809225257501	0.0337575259989053	0.014983579638752	0.0	0.0555555555555555	0.0124521072796934	0.04506476920270016	0.029228607918263066	-0.015836161284437093	0.0203073427211358	-0.02475742648156436	0.022669220945082964	-0.022395548257617196
1	10474900	10475000	0.0148148148148148	0.0519266741488963	0.0629629629629629	0.0074074074074074	0.0185185185185185	0.0423868312757201	0.0119047619047619	0.0629068462401795	0.037037037037037	0.0277777777777777	0.0619047619047618	0.028395061728395	0.04323481730889134	0.022770919067215335	-0.020463898241676003	0.037282881727326134	-0.005951935581565204	0.0393592004703115	-0.003875616838579836
1	10475000	10475100	0.268578777664912	0.2434620224901555	0.3166980032243214	0.1406949934123847	0.3060403522802444	0.364853624241751	0.0773809523809523	0.3841438022952541	0.3036297852474323	0.1940192743764172	0.2374974232117089	0.3338661278335191	0.2762462677931296	0.2705296566447934	-0.005716611148336215	0.2550515133078795	-0.0211947544852501	0.2551276084738818	-0.021118659319247834
1	10475100	10475200	0.3623000683526999	0.2543010752688172	0.5229728254938338	0.297517006802721	0.8472671875767851	0.5174765536198529	0.0859523809523809	0.4296703296703295	0.4847743165924984	0.2871245941558442	0.6166666666666666	0.3705467372134038	0.379857989705117	0.5540869159997863	0.1742289262946693	0.3334656757384029	-0.046392313966714116	0.42477933267863816	0.04492134297352113
1	10475200	10475300	0.1876750700280112	0.4752525252525253	0.4538461538461539	0.1217468805704099	0.990625	0.4066176470588236	0.1022727272727272	0.6709829386299972	0.4566624895572263	0.0923076923076922	0.6356837606837608	0.4482456140350876	0.37225791637556344	0.5063298425430779	0.13407192616751445	0.40997271848665023	0.0377148021110868	0.3920790223421802	0.019821105966616737
1	10475300	10475400	0.1577030812324929	0.8333333333333334	1.0	0.1054660894660894	0.5	0.2488302942848397	0.1438172043010752	0.2636554621848739	0.708994708994709	0.35625	0.2936091686091686	0.7981481481481483	0.6636788048552754	0.2847654612503097	-0.3789133436049657	0.372155791826886	-0.2915230130283894	0.4826691055857723	-0.1810096992695031
1	10475400	10475500	0.2348484848484848	0.4	0.9901960784313724	0.3695652173913043	0.7039337474120082	0.8530022265316385	0.5065217391304347	0.5265873015873015	0.586080586080586	0.4218390804597701	0.9901960784313724	0.4447916666666667	0.5416815210932857	0.642167063778317	0.10048554268503129	0.5397298755994407	-0.0019516454938449668	0.6189422751859364	0.07726075409265065
1	10475500	10475600	0.2107142857142857	0.0	0.4827586206896552	0.0057142857142857	0.0833333333333333	0.7387188208616781	0.3267399267399267	0.6086956521739131	0.5144927536231885	0.2490740740740741	0.8353174603174605	0.9226190476190476	0.2311576354679803	0.2759221466364324	0.04476451116845209	0.4833094441790094	0.2521518087110291	0.6690035273368607	0.43784589186888045
1	10475600	10475700	0.1607142857142857	0.0	0.7368421052631579	0.0	0.8421052631578947	1.0	0.1445578231292517	0.224891774891775	0.0909090909090909	0.3411764705882353	0.7333333333333336	0.6143939393939394	0.29918546365914783	0.6140350877192983	0.31484962406015043	0.1534528963100392	-0.14573256734910864	0.5629679144385027	0.26378245077935486
1	10475700	10475800	0.0384615384615384	0.1363636363636363	0.4461538461538461	0.0345578231292517	0.1274509803921568	0.4266666666666667	0.0081632653061224	0.36875	0.0555555555555555	0.2947619047619048	0.0	0.3714285714285714	0.20699300699300693	0.1962251567293584	-0.010767850263648543	0.1441562736205593	-0.06283673337244763	0.22206349206349207	0.01507048507048514
1	10475800	10475900	0.5357142857142857	0.0833333333333333	0.3563725490196078	0.0	0.4696969696969697	0.4240196078431373	0.1309523809523809	0.3995098039215686	0.6051851851851854	0.1794117647058823	0.0454545454545454	0.3440860215053761	0.3251400560224089	0.2979055258467023	-0.027234530175706595	0.37854912335304497	0.05340906733063605	0.1896507772219346	-0.13548927880047432
1	10475900	10476000	0.0075757575757575	0.0263157894736842	0.1136363636363636	0.0321428571428571	0.0383838383838383	0.053030303030303	0.0102272727272727	0.0481601731601731	0.0454545454545454	0.0113636363636363	0.0227272727272727	0.0606060606060605	0.04917597022860176	0.04118566618566613	-0.007990304042935631	0.03461399711399706	-0.0145619731146047	0.0315656565656565	-0.017610313662945264
1	10476000	10476100	0.0216450216450216	0.0378787878787878	0.0454545454545454	0.0056818181818181	0.0315656565656565	0.0378787878787878	0.003030303030303	0.0342521115248388	0.0113636363636363	0.0308080808080807	0.0357142857142857	0.0155844155844155	0.03499278499278493	0.025042087542087466	-0.009950697450697463	0.016215350306259365	-0.018777434686525565	0.027368927368927303	-0.0076238576238576265
1	10476100	10476200	0.0201149425287356	0.0471264367816092	0.0344827586206896	0.0100313479623824	0.0	0.0810755336617405	0.0184571175950486	0.0048309178743961	0.0246603970741901	0.0	0.041183574879227	0.0228632478632478	0.03390804597701146	0.030368960541374303	-0.003539085435637159	0.015982810847878268	-0.017925235129133195	0.021348940914158263	-0.0125591050628532
1	10476200	10476300	0.0085227272727272	0.0263193596526929	0.0194444444444444	0.0212325686009896	0.0356753812636165	0.0427489177489177	0.0034722222222222	0.0229938271604938	0.0338624338624338	0.0083333333333333	0.0260381593714927	0.0133185721953837	0.0180955104566215	0.0332189558711746	0.0151234454145531	0.020109494415049934	0.0020139839584284343	0.015896688300069902	-0.0021988221565515977
