chr	start	end	CTRL1	CTRL2	CTRL3	HEAT1	HEAT2	HEAT3	CTRLmean	HEATmean	delta24_CPM
1	10474800	10474900	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10474900	10475000	0.0000000000	0.6239439588	0.0000000000	0.0000000000	0.2251298417	0.3767528568	0.2079813196	0.2006275662	-0.0073537534
1	10475000	10475100	0.3642345327	0.0000000000	0.4171345618	0.1676255798	0.6003462446	0.3767528568	0.2604563648	0.3815748937	0.1211185289
1	10475100	10475200	2.4585830954	0.7903290144	0.8342691237	1.4527550253	2.1012118559	0.8790899992	1.3610604112	1.4776856268	0.1166252156
1	10475200	10475300	1.1245741196	0.7071364866	0.1668538247	1.1454414622	1.2632285563	0.1883764284	0.6661881436	0.8656821490	0.1994940053
1	10475300	10475400	1.0471742814	0.7071364866	0.2085672809	1.4806926219	1.0255915011	0.3139607140	0.6542926830	0.9400816123	0.2857889294
1	10475400	10475500	0.4097638492	0.3327701113	0.2085672809	0.4190639496	0.3251875491	0.7535057136	0.3170337472	0.4992524041	0.1822186569
1	10475500	10475600	0.0910586332	0.4159626392	0.2085672809	0.5168455378	0.3251875491	0.1883764284	0.2385295178	0.3434698385	0.1049403207
1	10475600	10475700	0.0000000000	1.6222542928	0.2085672809	1.7600685883	0.4502596834	0.7535057136	0.6102738579	0.9879446618	0.3776708039
1	10475700	10475800	1.1609975728	0.8319252783	0.2780897079	0.8101903026	0.6628823117	0.3767528568	0.7570041864	0.6166084903	-0.1403956960
1	10475800	10475900	0.2731758995	0.6239439588	0.8342691237	0.0000000000	0.0000000000	0.0000000000	0.5771296606	0.0000000000	-0.5771296606
1	10475900	10476000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476000	10476100	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476100	10476200	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476200	10476300	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476300	10476400	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476400	10476500	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476500	10476600	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476600	10476700	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476700	10476800	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476800	10476900	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1	10476900	10477000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
