chr	start	end	CTRL1	CTRL2	CTRL3	HEAT6_1	HEAT6_2	HEAT6_3	HEAT12_1	HEAT12_2	HEAT12_3	HEAT24_1	HEAT24_2	HEAT24_3	CTRLmean	HEAT6mean	HEAT12mean	HEAT24mean	deltaCHG_6h	deltaCHG_12h	deltaCHG_24h
1	27990900	27991000	0.0833333333333333	0.037037037037037	0.0	0.0277777777777778	0.0972222222222221	0.0	0.0	0.0166666666666666	0.1944444444444445	0.0	0.0	0.0	0.0401234567901234	0.0416666666666666	0.0703703703703703	0.0	0.0015432098765432	0.0302469135802469	-0.0401234567901234
1	27991000	27991100	0.0	0.0444444444444444	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0148148148148148	0.0	0.0066666666666666	0.0066666666666666	-0.0148148148148148	-0.0081481481481481	-0.0081481481481481
1	27991100	27991200	0.0714285714285714	0.1999999999999999	0.5	0.0357142857142857	0.2571428571428572	0.3238095238095239	0.1619047619047618	0.2857142857142857	0.2857142857142857	0.1071428571428571	0.3333333333333333	0.025	0.2571428571428571	0.2055555555555555	0.2444444444444443	0.1551587301587301	-0.0515873015873015	-0.0126984126984127	-0.1019841269841269
1	27991200	27991300	0.1	0.3333333333333333	0.4	0.04	0.2	0.2333333333333334	0.1	0.3125	0.35	0.1357142857142858	0.2333333333333334	0.125	0.2777777777777778	0.1577777777777778	0.2541666666666666	0.1646825396825397	-0.12	-0.0236111111111111	-0.113095238095238
1	27991300	27991400	0.3203703703703703	0.5000000000000001	0.5555555555555556	0.5185185185185186	0.5333333333333333	0.4166666666666667	0.4296296296296297	0.2916666666666666	0.4047619047619048	0.5185185185185186	0.3611111111111111	0.0	0.458641975308642	0.4895061728395062	0.3753527336860671	0.2932098765432099	0.0308641975308642	-0.0832892416225749	-0.165432098765432
1	27991400	27991500	0.1466666666666666	0.3888888888888889	0.3777777777777778	0.1999999999999999	0.3106060606060607	0.4555555555555556	0.0	0.0	0.4	0.0	0.6283068783068784	0.2577777777777778	0.3044444444444444	0.3220538720538721	0.1333333333333333	0.2953615520282187	0.0176094276094276	-0.1711111111111111	-0.0090828924162257
1	27991500	27991600	0.0777777777777777	0.5833333333333335	0.25	0.0833333333333333	0.4642857142857142	0.1577380952380951	0.0	0.5333333333333333	0.1388888888888888	0.2023809523809523	0.5555555555555557	0.3666666666666667	0.3037037037037037	0.2351190476190476	0.224074074074074	0.3748677248677248	-0.0685846560846561	-0.0796296296296296	0.0711640211640211
1	27991600	27991700	0.180952380952381	0.6333333333333335	0.55	0.0454545454545454	0.5594405594405594	0.5750000000000001	0.0277777777777777	0.1777777777777776	0.142857142857143	0.325	0.25	0.199074074074074	0.4547619047619048	0.3932983682983682	0.1161375661375661	0.2580246913580246	-0.0614635364635366	-0.3386243386243387	-0.1967372134038802
1	27991700	27991800	0.0920558608058608	0.3333333333333333	0.3299999999999999	0.1934523809523808	0.7246825396825396	0.5753174603174601	0.0138888888888888	0.2563461538461538	0.2759259259259259	0.15	0.4476461038961039	0.3	0.251796398046398	0.4978174603174602	0.1820536562203228	0.299215367965368	0.2460210622710622	-0.0697427418260751	0.0474189699189699
1	27991800	27991900	0.1558441558441559	0.3666666666666668	0.5163265306122449	0.2244755244755244	0.4368697478991596	0.4682539682539683	0.0428571428571428	0.2923611111111112	0.5922619047619048	0.2131572131572131	0.3693108974358974	0.3528138528138527	0.3462791177076892	0.3765330802095508	0.3091600529100529	0.3117606544689877	0.0302539625018615	-0.0371190647976362	-0.0345184632387014
1	27991900	27992000	0.0875	0.0	0.5499999999999999	0.0	0.3154761904761904	0.03125	0.0	0.0833333333333332	0.0	0.0	0.0	0.0972222222222223	0.2125	0.1155753968253968	0.0277777777777777	0.0324074074074074	-0.0969246031746031	-0.1847222222222222	-0.1800925925925925
1	27992000	27992100	0.0383522727272727	0.0	0.0	0.0643939393939394	0.0	0.0	0.0	0.1833333333333332	0.0	0.05	0.0	0.0476190476190476	0.0127840909090909	0.0214646464646464	0.061111111111111	0.0325396825396825	0.0086805555555555	0.0483270202020201	0.0197555916305916
1	27992100	27992200	0.2439153439153439	0.25	0.2314814814814814	0.2945326278659612	0.4085714285714286	0.0333333333333333	0.0	0.3333333333333333	0.0	0.0	0.6771428571428573	0.1535714285714285	0.2417989417989417	0.2454791299235743	0.1111111111111111	0.2769047619047619	0.0036801881246326	-0.1306878306878306	0.0351058201058201
