chr	start	end	CTRL1	CTRL2	CTRL3	HEAT1	HEAT2	HEAT3	CTRLmean	HEATmean	delta24_CPM
1	27990900	27991000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27991000	27991100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27991100	27991200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27991200	27991300	0.546351799	0.499155167	0.0	0.5028767395	0.6003462446	0.0	0.348502322	0.3677409947	0.0192386727
1	27991300	27991400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27991400	27991500	0.0	0.0	0.0	0.3352511597	0.0	0.0	0.0	0.1117503866	0.1117503866
1	27991500	27991600	0.0	0.0	0.0	0.0	0.0	0.3767528568	0.0	0.1255842856	0.1255842856
1	27991600	27991700	0.8195276985	0.7487327505	0.0	0.0	0.0	0.0	0.522753483	0.0	-0.522753483
1	27991700	27991800	0.8195276985	0.2495775835	0.0	0.1676255798	0.0	0.3767528568	0.3563684273	0.1814594789	-0.1749089484
1	27991800	27991900	0.2731758995	0.2495775835	0.0	0.5028767395	0.0	0.0	0.174251161	0.1676255798	-0.0066255812
1	27991900	27992000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27992000	27992100	0.2731758995	0.0	0.0	0.0	0.0	0.0	0.0910586332	0.0	-0.0910586332
1	27992100	27992200	0.0	0.0	0.0	0.0	0.9005193668	0.0	0.0	0.3001731223	0.3001731223
1	27992200	27992300	0.0	0.7487327505	0.0	0.0	0.6003462446	0.0	0.2495775835	0.2001154149	-0.0494621687
1	27992300	27992400	0.2731758995	0.0	0.0	0.5028767395	0.1500865611	0.7535057136	0.0910586332	0.4688230047	0.3777643716
1	27992400	27992500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27992500	27992600	0.2731758995	0.0	0.0	0.1676255798	0.4502596834	0.0	0.0910586332	0.2059617544	0.1149031213
1	27992600	27992700	0.8195276985	0.0	0.0	0.6705023194	0.1500865611	0.0	0.2731758995	0.2735296268	0.0003537273
1	27992700	27992800	0.0	0.0	0.0	0.1676255798	0.3001731223	0.0	0.0	0.1559329007	0.1559329007
1	27992800	27992900	0.0	0.2495775835	0.0	0.0	0.0	0.0	0.0831925278	0.0	-0.0831925278
1	27992900	27993000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27993000	27993100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27993100	27993200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27993200	27993300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27993300	27993400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27993400	27993500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27993500	27993600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
