chr	start	end	CTRL1	CTRL2	CTRL3	HEAT6_1	HEAT6_2	HEAT6_3	HEAT12_1	HEAT12_2	HEAT12_3	HEAT24_1	HEAT24_2	HEAT24_3	CTRLmean	HEAT6mean	HEAT12mean	HEAT24mean	deltaCHG_6h	deltaCHG_12h	deltaCHG_24h
1	22699500	22699600	0.0	0.0478632478632478	0.0833333333333333	0.0	0.0416666666666666	0.0833333333333334	0.0	0.0625	0.1111111111111113	0.0	0.0	0.0	0.0437321937321937	0.0416666666666666	0.0578703703703704	0.0	-0.002065527065527	0.0141381766381767	-0.0437321937321937
1	22699600	22699700	0.0	0.0555555555555555	0.0204081632653061	0.0	0.0239760239760239	0.0	0.0280316175053017	0.0238095238095238	0.0268620268620268	0.0095238095238095	0.0523809523809524	0.0270108043217286	0.0253212396069539	0.0079920079920079	0.0262343893922841	0.0296385220754968	-0.0173292316149459	0.0009131497853302	0.0043172824685429
1	22699700	22699800	0.0	0.0	0.0333333333333333	0.0138888888888888	0.0208333333333333	0.0128205128205128	0.0151515151515151	0.0	0.0185185185185185	0.0	0.0	0.0	0.0111111111111111	0.0158475783475783	0.0112233445566778	0.0	0.0047364672364672	0.0001122334455667	-0.0111111111111111
1	22699900	22700000	0.0	0.0285714285714285	0.0	0.0129870129870129	0.0238095238095238	0.0612244897959184	0.021978021978022	0.0	0.0	0.0	0.0	0.0	0.0095238095238095	0.0326736755308184	0.0073260073260073	0.0	0.0231498660070089	-0.0021978021978021	-0.0095238095238095
1	22700000	22700100	0.0	0.25	0.0	0.0833333333333332	0.0625	0.119047619047619	0.0	0.125	0.0	0.0	0.0	0.1125	0.0833333333333333	0.0882936507936507	0.0416666666666666	0.0375	0.0049603174603174	-0.0416666666666666	-0.0458333333333333
1	22700100	22700200	0.2241666666666667	0.4333333333333333	0.4579365079365079	0.1196464646464646	0.1759259259259259	0.29	0.0535714285714286	0.4444444444444444	0.3541666666666667	0.1133333333333333	0.4133333333333334	0.0625	0.3718121693121692	0.1951907968574635	0.2840608465608465	0.1963888888888889	-0.1766213724547057	-0.0877513227513226	-0.1754232804232803
1	22700200	22700300	0.21875	0.3076923076923077	0.3466117216117217	0.1296626984126984	0.25	0.2722222222222222	0.0889308608058608	0.2	0.3203125	0.1125	0.5	0.0	0.2910180097680098	0.2172949735449735	0.2030811202686202	0.2041666666666667	-0.0737230362230362	-0.0879368894993895	-0.0868513431013431
1	22700300	22700400	0.0378787878787878	0.0	0.0	0.0092592592592592	0.1363636363636363	0.0151515151515151	0.0069444444444444	0.0	0.125	0.0	0.0	0.0	0.0126262626262626	0.0535914702581369	0.0439814814814814	0.0	0.0409652076318743	0.0313552188552188	-0.0126262626262626
1	22700400	22700500	0.0	0.0	0.0	0.0	0.1666666666666666	0.0	0.0	0.0773809523809525	0.111111111111111	0.0	0.0	0.0	0.0	0.0555555555555555	0.0628306878306878	0.0	0.0555555555555555	0.0628306878306878	0.0
1	22700500	22700600	0.1944444444444445	0.4285714285714285	0.8	0.0833333333333332	0.4503968253968253	0.3030303030303031	0.2728174603174602	0.4431818181818182	0.4058641975308641	0.1240079365079365	0.35	0.2875	0.4743386243386243	0.2789201539201539	0.3739544920100475	0.2538359788359788	-0.1954184704184704	-0.1003841323285768	-0.2205026455026455
1	22700600	22700700	0.0833333333333332	0.75	0.6699999999999999	0.0	0.4791666666666667	0.6666666666666666	0.0791666666666667	0.2818181818181818	0.5533333333333335	0.3343253968253967	0.3972222222222221	0.1	0.5011111111111111	0.3819444444444444	0.3047727272727273	0.2771825396825396	-0.1191666666666666	-0.1963383838383837	-0.2239285714285714
1	22700700	22700800	0.342156862745098	0.7875	0.9375	0.1794117647058823	0.606052036199095	0.5590174531351002	0.0266106442577031	0.4010416666666667	0.8809523809523808	0.4343998015873015	0.491592394533571	0.65	0.6890522875816992	0.4481604180133591	0.4362015639589169	0.5253307320402909	-0.24089186956834	-0.2528507236227823	-0.1637215555414083
1	22700800	22700900	0.2875	0.75	0.9142857142857144	0.3261904761904762	0.7457482993197279	0.9438775510204082	0.2857142857142856	0.3246753246753247	0.3472222222222223	0.2479166666666666	0.875	0.1785714285714285	0.6505952380952381	0.6719387755102041	0.3192039442039442	0.433829365079365	0.0213435374149659	-0.3313912938912939	-0.216765873015873
1	22700900	22701000	0.2333333333333333	0.6	0.4973063973063973	0.3166666666666667	1.0	0.8231292517006803	0.2633333333333333	0.4052910052910052	0.48	0.310952380952381	0.625	0.3	0.4435465768799102	0.713265306122449	0.3828747795414462	0.4119841269841269	0.2697187292425387	-0.060671797338464	-0.0315624498957832
1	22701000	22701100	0.0	0.0555555555555555	0.0	0.025	0.111111111111111	0.0	0.025	0.0	0.05	0.0	0.037037037037037	0.0	0.0185185185185185	0.0453703703703703	0.025	0.0123456790123456	0.0268518518518518	0.0064814814814814	-0.0061728395061728
1	22701100	22701200	0.0	0.0714285714285714	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571428571428	0.0238095238095238	0.1111111111111111	0.0	0.0476190476190476	0.0873015873015873	-0.0238095238095238	0.0238095238095238
1	22701200	22701300	0.0	0.0	0.0	0.0	0.0833333333333335	0.0	0.0454545454545454	0.0	0.25	0.0625	0.25	0.0	0.0	0.0277777777777778	0.0984848484848485	0.1041666666666666	0.0277777777777778	0.0984848484848485	0.1041666666666666
1	22701300	22701400	0.0204081632653061	0.0	0.0	0.0	0.0476190476190475	0.0178571428571428	0.0	0.0476190476190475	0.0	0.0238095238095238	0.0555555555555555	0.0285714285714285	0.0068027210884353	0.0218253968253968	0.0158730158730158	0.0359788359788359	0.0150226757369614	0.0090702947845804	0.0291761148904005
1	22701400	22701500	0.0	0.0	0.0	0.05	0.1	0.0	0.0	0.0	0.0	0.0	0.1666666666666665	0.0	0.0	0.05	0.0	0.0555555555555555	0.05	0.0	0.0555555555555555
1	22701500	22701600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
