chr	start	end	CTRL1	CTRL2	CTRL3	HEAT1	HEAT2	HEAT3	CTRLmean	HEATmean	delta24_CPM
1	25047900	25048000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25048000	25048100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25048100	25048200	0.0	0.0	0.0	0.0	0.1500865611	0.0	0.0	0.0500288537	0.0500288537
1	25048200	25048300	0.0	0.0	0.0	0.3352511597	0.3001731223	0.0	0.0	0.211808094	0.211808094
1	25048300	25048400	1.9122312964	1.2478879175	0.0	0.8381278992	1.9511252948	0.0	1.0533730713	0.9297510647	-0.1236220067
1	25048400	25048500	0.0	0.2495775835	0.0	0.0	0.6003462446	0.3767528568	0.0831925278	0.3256997004	0.2425071726
1	25048500	25048600	1.9805252713	1.6222542928	0.1042836405	0.9638470841	1.7259954531	0.1883764284	1.2356877348	0.9594063219	-0.276281413
1	25048600	25048700	4.3480497336	3.7436637526	0.8342691237	1.6622870001	2.3013272708	0.470941071	2.9753275366	1.478185114	-1.4971424226
1	25048700	25048800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25048800	25048900	0.5691164573	0.3743663753	0.2780897079	0.6705023194	0.4002308297	0.0	0.4071908468	0.3569110497	-0.0502797971
1	25048900	25049000	0.4097638492	1.3726767093	0.4171345618	1.005753479	0.3752164028	0.0	0.7331917068	0.460323294	-0.2728684128
1	25049000	25049100	1.6390553969	0.499155167	0.0	0.5028767395	0.3001731223	1.5070114272	0.7127368547	0.7700204297	0.057283575
1	25049100	25049200	0.9105863316	0.4159626392	0.8342691237	1.005753479	0.9505482205	0.0	0.7202726982	0.6521005665	-0.0681721316
1	25049200	25049300	0.2731758995	0.2495775835	0.0	1.005753479	0.7504328057	0.0	0.174251161	0.5853954282	0.4111442672
1	25049300	25049400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25049400	25049500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25049500	25049600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25049600	25049700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25049700	25049800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25049800	25049900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25049900	25050000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	25050000	25050100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
