context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	loss	GO:0007275	multicellular organism development	3	AT2G48130;AT4G21060;AT4G24660	5.635	2.2252584119602834	0.5323868677905945	0.9353233830845771	187	9	200	1.0
CG	loss	GO:0008152	metabolic process	4	AT2G19800;AT2G33380;AT4G21060;AT4G28850	13.64	2.6496037439587012	0.29325513196480935	1.0	200	9	200	1.0
CG	loss	GO:0009987	cellular process	4	AT2G19800;AT2G33380;AT4G21060;AT4G28850	22.44	2.2663627247199254	0.17825311942959002	1.0	200	9	200	1.0
CG	loss	GO:0032501	multicellular organismal process	3	AT2G48130;AT4G21060;AT4G24660	6.17	2.2496888673769986	0.4862236628849271	0.9601990049751243	192	9	200	1.0
CG	loss	GO:0032502	developmental process	3	AT2G48130;AT4G21060;AT4G24660	6.615	2.2971232008753892	0.4535147392290249	0.9800995024875622	196	9	200	1.0
CG	loss	GO:0044238	primary metabolic process	3	AT2G33380;AT4G21060;AT4G28850	11.84	2.5699027218943518	0.2533783783783784	1.0	200	9	200	1.0
CG	loss	GO:0048731	system development	3	AT2G48130;AT4G21060;AT4G24660	4.305	1.9395811403496384	0.6968641114982579	0.8258706467661692	165	9	200	1.0
CG	loss	GO:0048856	anatomical structure development	3	AT2G48130;AT4G21060;AT4G24660	6.44	2.2641554716935843	0.4658385093167702	0.9751243781094527	195	9	200	1.0
CG	loss	GO:0160109	plant gross anatomical part developmental process	3	AT2G48130;AT4G21060;AT4G24660	5.21	2.060558176805499	0.5758157389635317	0.9253731343283582	185	9	200	1.0
CHG	gain	GO:0009987	cellular process	3	AT2G38220;AT5G02370;AT5G06630	24.065	2.332546891275721	0.12466237274049449	1.0	200	10	200	1.0
CHG	loss	GO:0009987	cellular process	3	AT2G33380;AT5G23660;AT5G36180	26.965	2.6858471661656504	0.11125533098460968	1.0	200	9	200	1.0
CHH	gain	GO:0003006	developmental process involved in reproduction	3	AT1G67990;AT1G69940;AT5G62165	7.23	2.3847641392808625	0.41493775933609955	0.9800995024875622	196	32	200	1.0
CHH	gain	GO:0006139	nucleobase-containing compound metabolic process	3	AT4G18690;AT5G49010;AT5G53660	9.47	2.507807807628007	0.3167898627243928	1.0	200	32	200	1.0
CHH	gain	GO:0006355	regulation of DNA-templated transcription	3	AT1G26960;AT5G53660;AT5G62165	7.765	2.4919420137715886	0.38634900193174504	0.9950248756218906	199	32	200	1.0
CHH	gain	GO:0006810	transport	4	AT1G65550;AT2G04090;AT2G42005;AT3G54860	10.03	2.743920552785742	0.39880358923230314	0.9950248756218906	199	32	200	1.0
CHH	gain	GO:0006950	response to stress	3	AT1G64790;AT1G69940;AT5G22500	13.88	3.140955268704093	0.21613832853025935	1.0	200	32	200	1.0
CHH	gain	GO:0006996	organelle organization	3	AT1G24490;AT3G54860;AT5G23120	5.67	2.3154049321878887	0.5291005291005291	0.9104477611940298	182	32	200	1.0
CHH	gain	GO:0007275	multicellular organism development	7	AT1G13245;AT1G26960;AT1G49005;AT1G67990;AT2G38195;AT5G53660;AT5G62165	12.14	3.122563049803796	0.5766062602965404	0.9701492537313433	194	32	200	1.0
CHH	gain	GO:0008152	metabolic process	8	AT1G67990;AT1G69940;AT2G38195;AT3G60140;AT4G18690;AT5G22500;AT5G49010;AT5G53660	30.915	3.909958439676822	0.25877405790069546	1.0	200	32	200	1.0
CHH	gain	GO:0009058	biosynthetic process	4	AT1G67990;AT4G18690;AT5G22500;AT5G53660	15.115	3.3483988711024284	0.26463777704267283	1.0	200	32	200	1.0
CHH	gain	GO:0009628	response to abiotic stimulus	3	AT1G13245;AT5G22500;AT5G53660	9.61	2.97454198154943	0.3121748178980229	1.0	200	32	200	1.0
CHH	gain	GO:0009653	anatomical structure morphogenesis	3	AT1G26960;AT1G49005;AT1G69940	5.085	2.1465728499168155	0.5899705014749262	0.8955223880597015	179	32	200	1.0
