context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	gain	GO:0000160	phosphorelay signal transduction system	3	AT2G25180;AT3G23150;AT5G10720	3.37	1.6195987157317702	0.8902077151335311	0.7164179104477612	143	253	200	1.0
CG	gain	GO:0000271	polysaccharide biosynthetic process	6	AT1G06490;AT1G32180;AT3G01180;AT3G59100;AT4G33330;AT5G05170	8.88	2.7740944468420654	0.6756756756756757	0.9104477611940298	182	253	200	1.0
CG	gain	GO:0000278	mitotic cell cycle	4	AT2G38220;AT3G12280;AT5G05170;AT5G49160	4.625	1.9453470127460553	0.8648648648648649	0.7313432835820896	146	253	200	1.0
CG	gain	GO:0000280	nuclear division	4	AT1G50240;AT1G53490;AT2G01990;AT3G12280	5.465	2.179168419374694	0.7319304666056725	0.8159203980099502	163	253	200	1.0
CG	gain	GO:0000302	response to reactive oxygen species	4	AT1G22770;AT1G66950;AT3G17800;AT5G10720	4.355	1.9997437335818793	0.9184845005740527	0.6517412935323383	130	253	200	1.0
CG	gain	GO:0000902	cell morphogenesis	3	AT2G25630;AT3G12280;AT3G56640	13.87	3.666483328749773	0.21629416005767846	1.0	200	253	200	1.0
CG	gain	GO:0000910	cytokinesis	4	AT1G50240;AT4G08630;AT5G05170;AT5G49160	4.425	1.8639675426358695	0.903954802259887	0.7064676616915423	141	253	200	1.0
CG	gain	GO:0001101	response to acid chemical	9	AT1G44170;AT1G49230;AT2G18960;AT2G25180;AT3G13380;AT3G45140;AT3G46620;AT5G19000;AT5G37500	14.155	3.562439473170041	0.6358177322500883	0.9502487562189055	190	253	200	1.0
CG	gain	GO:0001558	regulation of cell growth	5	AT1G28270;AT3G12280;AT4G39110;AT5G44585;AT5G54310	4.125	2.0589742591882976	1.2121212121212122	0.39303482587064675	78	253	200	1.0
CG	gain	GO:0001666	response to hypoxia	3	AT1G23310;AT3G23150;AT5G25250	5.5	2.4041630560342617	0.5454545454545454	0.9154228855721394	183	253	200	1.0
CG	gain	GO:0002237	response to molecule of bacterial origin	3	AT1G66730;AT5G10720;AT5G42950	1.75	1.299038105676658	1.7142857142857142	0.23880597014925373	47	253	200	1.0
CG	gain	GO:0002376	immune system process	3	AT1G64790;AT3G49500;AT5G03320	7.7	2.736786436680801	0.38961038961038963	0.9701492537313433	194	253	200	1.0
CG	gain	GO:0002831	regulation of response to biotic stimulus	5	AT2G28290;AT3G59700;AT5G03320;AT5G44585;AT5G53060	7.585	2.7536838961652803	0.6591957811470006	0.900497512437811	180	253	200	1.0
CG	gain	GO:0003002	regionalization	3	AT1G19850;AT1G23420;AT4G17220	6.115	2.2185073811010856	0.49059689288634506	0.9502487562189055	190	253	200	1.0
CG	gain	GO:0003006	developmental process involved in reproduction	23	AT1G19850;AT1G22770;AT1G23420;AT1G29760;AT1G66730;AT1G73177;AT2G01280;AT2G02240;AT2G25630;AT2G28290;AT2G31215;AT2G34260;AT2G42830;AT2G48130;AT3G12280;AT3G49500;AT3G56640;AT4G32880;AT5G23040;AT5G40360;AT5G49160;AT5G52920;AT5G54310	49.015	6.305931731314581	0.46924410894624097	1.0	200	253	200	1.0
CG	gain	GO:0005975	carbohydrate metabolic process	20	AT1G06490;AT1G17150;AT1G22650;AT1G32180;AT1G71930;AT2G25630;AT2G28760;AT3G01180;AT3G10900;AT3G59100;AT3G60140;AT4G28850;AT4G33330;AT5G05170;AT5G07420;AT5G14950;AT5G20280;AT5G26120;AT5G42260;AT5G52920	29.96	4.880409818857417	0.6675567423230975	0.9800995024875622	196	253	200	1.0
CG	gain	GO:0005976	polysaccharide metabolic process	10	AT1G06490;AT1G32180;AT1G71930;AT3G01180;AT3G10900;AT3G59100;AT4G28850;AT4G33330;AT5G05170;AT5G07420	14.93	3.4168845458985024	0.6697923643670463	0.9552238805970149	191	253	200	1.0
CG	gain	GO:0005996	monosaccharide metabolic process	3	AT2G28760;AT5G14950;AT5G26120	3.995	1.9326083410768977	0.7509386733416771	0.7412935323383084	148	253	200	1.0
CG	gain	GO:0006091	generation of precursor metabolites and energy	3	AT2G18660;AT5G52840;AT5G52920	8.315	2.7084635866114204	0.3607937462417318	0.9900497512437811	198	253	200	1.0
